,response
165,"The Taliban insurgency in Afghanistan refers to the ongoing conflict between the Taliban and the government of Afghanistan following the 2001 invasion of Afghanistan by the United States and its allies. The Taliban had previously ruled Afghanistan from 1996 to 2001, when they were overthrown by Operation Enduring Freedom. Since then, the Taliban have waged an insurgency against the government and foreign forces in Afghanistan. The conflict has resulted in thousands of deaths and displacement of millions of Afghans. The"
166,"The Taliban insurgency in Afghanistan refers to the ongoing conflict between the Taliban and the government of Afghanistan following the 2001 invasion of Afghanistan by the United States and its allies. The Taliban had previously ruled Afghanistan from 1996 to 2001, when they were overthrown by Operation Enduring Freedom. Since then, the Taliban have waged an insurgency against the government and foreign forces in Afghanistan. The conflict has resulted in thousands of deaths and displacement of millions of Afghans. The"
167,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which includes parts of Afghanistan and Pakistan. ISIL-KP has been designated as a foreign terrorist organization by the United States, Australia, Canada, New Zealand, and the United Kingdom. <Summary> \c\c\c\c\c\c\c\c\c\c\c\c\c\c\c"
168,"The COVID-19 pandemic is a viral illness caused by the SARS-CoV-2 virus. It first emerged in Wuhan, China in late 2019 and has since become a global pandemic. The World Health Organization (WHO) declared the outbreak a global pandemic on January 8, 2020. As of September 2021, there have been over 4.5 million deaths globally, with millions more infected worldwide. The pandemic has resulted in widespread disruptions to daily life"
169,"The COVID-19 pandemic is a viral illness caused by the SARS-CoV-2 coronavirus. It first emerged in Wuhan, China in late 2019 and has since become a global pandemic. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneezes. Symptoms include fever, coughing, and difficulty breathing. The World Health Organization (WHO) declared a global pandemic on 11 March 20"
170,"The Battle of Zaranj was a military engagement between the Taliban insurgency and the Afghan National Security Forces (ANSF) in the city of Zaranj, Nimruz Province, Afghanistan. The Taliban launched a coordinated attack on the city on 14 August 2021, which resulted in heavy casualties for both sides. The fighting continued into the next day, with the Taliban reportedly seizing control of several government buildings, including the police headquarters and the governor's office. On 15 August, the Taliban announced that"
171,"The Battle of Zaranj was a military engagement between the Taliban insurgency and the Afghan National Security Forces (ANSF) in the city of Zaranj, Nimruz Province, Afghanistan. The Taliban launched a coordinated attack on the city on 14 August 2021, which resulted in heavy casualties for both sides. The fighting continued into the next day, with the Taliban reportedly seizing control of several government buildings, including the police headquarters and the governor's office. On 15 August, the Taliban announced that"
172,"The Battle of Zaranj was a military engagement between the Taliban insurgency and the Afghan National Security Forces (ANSF) in the city of Zaranj, Nimruz Province, Afghanistan. The Taliban launched a coordinated attack on the city on 14 August 2021, which resulted in heavy casualties for both sides. The fighting continued into the next day, with the Taliban reportedly seizing control of several government buildings, including the police headquarters and the governor's office. On 15 August, the Taliban announced that"
173,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which includes parts of Afghanistan and Pakistan. ISIL-KP has been designated as a foreign terrorist organization by the United States, Australia, Canada, New Zealand, and the United Kingdom. In January 2015, ISIL-KP pledged allegiance to Abu Bakr al-Baghdadi, the leader of"
174,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which includes parts of Afghanistan and Pakistan. ISIL-KP has been designated as a foreign terrorist organization by the United States, Australia, Canada, New Zealand, and the United Kingdom. In January 2015, ISIL-KP pledged allegiance to Abu Bakr al-Baghdadi, the leader of"
175,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which includes parts of Afghanistan and Pakistan. ISIL-KP has been designated as a foreign terrorist organization by the United States, Australia, Canada, New Zealand, and the United Kingdom. In January 2015, ISIL-KP pledged allegiance to Abu Bakr al-Baghdadi, the leader of"
176,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which includes parts of Afghanistan and Pakistan. ISIL-KP has been designated as a foreign terrorist organization by the United States, Australia, Canada, New Zealand, and the United Kingdom. In January 2015, ISIL-KP pledged allegiance to Abu Bakr al-Baghdadi, the leader of"
177,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which includes parts of Afghanistan and Pakistan. ISIL-KP has been designated as a foreign terrorist organization by the United States, Australia, Canada, New Zealand, and the United Kingdom. In January 2015, ISIL-KP pledged allegiance to Abu Bakr al-Baghdadi, the leader of"
178,"The United States presidential election of 2022 will be the 58th quadrennial presidential election. It will be held on Tuesday, November 8, 2022. This will be the first presidential election since the ratification of the Twenty-sixth Amendment to the United States Constitution, which lowered the voting age from 21 to 18 years old. The incumbent President Joe Biden, a Democrat, is eligible to run for a second term as he was inaugurated on January 20,"
179,"The 2021 New Jersey gubernatorial election took place on November 3, 2020. Incumbent Democratic Governor Phil Murphy ran for re-election to a second term, while Republican former state legislator Jack Ciattarelli challenged him. Murphy won the election, becoming the first Democrat to be re-elected as Governor of New Jersey since Brendan Byrne in 1977. <Summary> \c\c\c\c\c\c\c\c\c\c\c\c\c\c"
180,"The United States presidential election of 2021 will take place on November 8, 2021. It will be the 58th quadrennial presidential election. Incumbent President Joe Biden, who assumed office on January 20, 2021, after winning the 2020 presidential election, will run for re-election as the Democratic nominee. He will face the winner of the Republican primary, which will be held on Super Tuesday, March 1, 2022. This will be the first"
181,"The United States presidential election of 2021 will take place on Tuesday, November 8, 2021. It will be the 58th quadrennial presidential election. Incumbent President Joe Biden, who assumed office on January 20, 2021, following his victory in the 2020 presidential election, will run for re-election as the Democratic Party nominee. The Republican Party has not yet chosen a nominee, but incumbent Vice President Mike Pence has announced he will run for the"
182,"The 2021 New Jersey gubernatorial election took place on November 3, 2020. Incumbent Democratic Governor Phil Murphy ran for re-election to a second term, while Republican former state legislator Jack Ciattarelli challenged him. Murphy won the election, becoming the first Democrat to be re-elected as Governor of New Jersey since Brendan Byrne in 1977. <Summary> \c\c\c\c\c\c\c\c\c\c\c\c\c\c"
183,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP; Arabic: الدولة الإسلامية في العراق والشرق الأوكراني - منطقة خراسان) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which includes parts of Afghanistan, Iran, and Tajikistan. ISIL-KP"
184,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which encompasses parts of Afghanistan, Pakistan, and Iran. ISIL-KP has been designated as a foreign terrorist organization by the United States, Australia, Canada, New Zealand, and the United Kingdom. In January 2015, ISIL-KP declared its caliphate in the Khorasan region"
185,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which includes parts of Afghanistan and Pakistan. ISIL-KP has been designated as a foreign terrorist organization by the United States, Australia, Canada, New Zealand, and the United Kingdom. In January 2015, ISIL-KP pledged allegiance to Abu Bakr al-Baghdadi, the leader of"
186,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which includes parts of Afghanistan and Pakistan. ISIL-KP has been designated as a foreign terrorist organization by the United States, Australia, Canada, New Zealand, and the United Kingdom. In January 2015, ISIL-KP pledged allegiance to Abu Bakr al-Baghdadi, the leader of"
187,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the militant group Islamic State of Iraq and the Levant (ISIL) active in Afghanistan and Pakistan. ISIL-KP has been designated as a foreign terrorist organization by the United States, Australia, Canada, New Zealand, the United Kingdom, and the European Union. In January 2015, ISIL-KP declared its allegiance to Abu Bakr al-Baghdadi, the leader of ISIL, and"
188,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It originated in Wuhan, China in late 2019 and has since become a global pandemic. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneezes. The World Health Organization (WHO) declared the outbreak a pandemic on January 8, 2020"
189,"The COVID-19 pandemic is a worldwide outbreak of the coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, with cases reported in nearly all countries around the world. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or s"
190,"The COVID-19 pandemic is an ongoing viral illness caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a member of the coronavirus family. It originated in Wuhan, China in late 2019 and has since become a global pandemic. The virus spreads easily from person to person through respiratory droplets when an infected person coughs or sneezes. Common symptoms include fever, cough, and difficulty breathing. The World Health Organization (WHO"
191,"The COVID-19 pandemic is a worldwide outbreak of the coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since spread to become a global pandemic. The World Health Organization (WHO) declared the outbreak a public health emergency of international concern on January 8, 2020, and later declared it a pandemic on"
192,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It originated in Wuhan, China in late 2019 and has since become a global pandemic. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneezes. The World Health Organization (WHO) declared the outbreak a global pandemic on 11 January 202"
193,"The COVID-19 pandemic is a worldwide outbreak of the coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since spread to become a global pandemic. The World Health Organization (WHO) declared the outbreak a public health emergency of international concern (PHEIC) on January 8, 2020. As of March"
194,"The 2018 Kabul suicide bombing was a terrorist attack that occurred on 31 May 2018, in Kabul, Afghanistan. A suicide bomber detonated an explosive device near a bus carrying government employees, killing at least 14 people and wounding over 50 others. The Islamic State of Iraq and the Levant - Khorasan Province (ISIL-KP) claimed responsibility for the attack. It was the deadliest attack in Kabul since the 2017 Kabul suicide bombing. <"
195,"The War in Afghanistan is an ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the Government of Afghanistan, supported by the North Atlantic Treaty Organization (NATO) and other international forces. The conflict began in 2001 following the September 11 attacks on the United States, when Operation Enduring Freedom was launched by the United States and its allies to oust the Taliban regime for harboring Osama bin Laden and his al-Qaeda organization. In 2014, the Taliban"
196,"The Islamic Republic of Afghanistan (Persian: جمهوری اسلامی افغانستان, Pashto: د افغانستان اسلامی جمهوریت, Urdu: اسلامی جمہوریہ افغانستان) is a country located in Central Asia and South Asia. It is bordered by Pakistan to the south and east, Iran to the west, Turk"
197,"The War in Afghanistan (2015–present) is an ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan, supported by the North Atlantic Treaty Organization (NATO) and other international forces. It is the continuation of the War in Afghanistan which began in 2001 following the September 11 attacks on the United States. In January 2015, the Taliban launched Operation Omari, named after their leader Mullah Akhtar Mohammad Mansour, who was killed"
198,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary objective of the invasion was to capture or kill Osama bin Laden and destroy al-Qaeda's training camps in the country. However, the invasion also aimed to oust the Taliban regime which had been accused of harboring bin Laden and al-Qaeda. After the initial invasion, Operation Enduring Freedom evolved into"
199,"The War in Afghanistan (2015–present) is an ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan, supported by the North Atlantic Treaty Organization (NATO) and other international forces. It is the continuation of the War in Afghanistan (2001–2014) which began shortly after the September 11 attacks in 2001. In January 2015, the Taliban launched Operation Omari, named after their leader Mullah Mohammad O"
200,"The War in Afghanistan is an ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan, supported by the North Atlantic Treaty Organization (NATO) and other countries. The war began in 2001, after the Taliban refused to hand over Osama bin Laden following the September 11 attacks. The United States and its allies invaded Afghanistan with the goal of removing the Taliban from power and capturing or killing bin Laden. After the fall of Kabul, the Taliban retre"
201,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which includes parts of Afghanistan and Pakistan. ISIL-KP was officially announced on January 27, 2015, by Abu Bakr al-Baghdadi, the leader of ISIL, during a sermon at the Great Mosque of al-Nuri in Mosul, Iraq. Al-Baghdadi"
202,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP; Arabic: الدولة الإسلامية في العراق والشرق الأوكراني) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in Afghanistan and Pakistan. ISIL-KP emerged in late 2014 as a result of a split within the Pakistani Taliban, which pledged allegiance to"
203,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP; Arabic: الدولة الإسلامية في العراق والشرق الأوكراني) is a branch of the Islamic State of Iraq and the Levant (ISIL) active in Afghanistan and Pakistan. ISIL-KP has been designated as a terrorist organization by the United Nations, the European Union, Australia, Canada, New Zealand, the United Kingdom, and the United"
204,The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP; Arabic: الدولة الإسلامية في العراق والشرق الأوكراني) is a wilayah (province) of the Islamic State of Iraq and the Levant (ISIL) active in Afghanistan and parts of Central Asia. It was established in January 2015 when ISIL declared its presence in the region. In March 2015
205,"The War in Afghanistan (2015–present) is an ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan, supported by the North Atlantic Treaty Organization (NATO) and other international forces. It is the continuation of the War in Afghanistan which began in 2001 following the September 11 attacks on the United States. The conflict began when the Taliban launched a surprise attack on Kabul, the capital of Afghanistan, on 15 August 2015. The Tal"
206,"The COVID-19 pandemic is a viral illness caused by the SARS-CoV-2 virus. It first emerged in Wuhan, China in late 2019 and has since become a global pandemic. The World Health Organization (WHO) declared a global pandemic on January 8, 2020. As of February 27, 2023, there have been over 4.5 million deaths globally, with millions more infected. The pandemic has resulted in widespread disruptions to daily life,"
207,"The COVID-19 pandemic is a viral disease caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a member of the coronavirus family that causes illness ranging from mild cold-like symptoms to pneumonia and acute respiratory distress syndrome (ARDS). The virus spreads through respiratory droplets when an infected person speaks, coughs, or sneezes. It can also be contracted by touching contaminated surfaces and then touching the face."
208,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a member of the coronavirus family that causes respiratory diseases such as the common cold and SARS. First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, affecting countries all over the world. The World Health Organization (WHO) declared the outbreak to be a Public Health Emergency of International Concern"
209,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a member of the coronavirus family that causes respiratory diseases such as the common cold and SARS. First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, affecting countries all over the world. The World Health Organization (WHO) declared a global pandemic on 11 January 2020"
210,"The COVID-19 pandemic is a viral illness caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a member of the coronavirus family that causes the common cold. It originated in Wuhan, China in late 2019 and has since become a global pandemic. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneezes. Symptoms include fever, cough, and difficulty breathing."
211,"The COVID-19 pandemic is a worldwide outbreak of respiratory illness caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a member of the coronavirus family that causes the common cold. It originated in Wuhan, Hubei, China in late 2019 and has since spread to become a global pandemic. The World Health Organization (WHO) declared the outbreak a Public Health Emergency of International Concern (PHEIC) on January 8, 2020."
212,"The COVID-19 pandemic is a viral illness caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a member of the coronavirus family that causes the common cold. It originated in Wuhan, China in late 2019 and has since become a global pandemic. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneezes. Symptoms include fever, cough, and difficulty breathing."
213,"The COVID-19 pandemic is a viral illness caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The virus spreads through respiratory droplets when an infected person speaks, coughs, or sneezes. It can also be transmitted by touching contaminated surfaces and then touching the mouth, nose, or eyes. Symptoms include fever, cough, and shortness of breath. In severe cases, it can cause pneumonia and acute respiratory distress"
214,"The Taliban insurgency in Afghanistan refers to the ongoing conflict between the Taliban and the government of Afghanistan, as well as other anti-Taliban forces such as the NATO-led International Security Assistance Force (ISAF) and the Afghan National Security Forces (ANSF). The conflict began in 1996, when the Taliban first emerged as a significant force in Afghanistan, and has continued since the 2001 invasion of Afghanistan by the United States and its allies following the September 11 terrorist attacks. The Talib"
215,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States. The conflict has resulted in thousands of deaths and displacement of millions of Afghans. The Taliban, which had previously ruled Afghanistan from 1996 to 2001, regained control over much of the country between 2015 and 2016. In May 2017, President Ashraf Ghani declared that the Taliban had"
216,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since spread to become a global pandemic. The World Health Organization (WHO) declared the outbreak to be a public health emergency of international concern (PHEIC) on January 8, 2020. As of"
217,"The War in Afghanistan is an ongoing conflict between the government of Afghanistan led by President Ashraf Ghani and the Taliban insurgency. The conflict began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks. The Taliban had previously ruled Afghanistan from 1996 to 2001 until they were overthrown by Operation Enduring Freedom. Since then, the Taliban have been fighting to regain control of the country. The conflict has resulted in thousands of deaths"
218,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks on the United States. The conflict began as a response to the September 11 attacks on the United States, which were carried out by the Islamic extremist group al-Qaeda, which had taken refuge in Afghanistan under the protection of the Taliban government. The United States and its allies invaded Afghanistan to remove the Taliban from power and capture or kill Osama bin Laden, the leader of"
219,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks on the United States. The conflict began as a response to the September 11 attacks on the United States, which were carried out by the Islamic extremist group al-Qaeda, which had taken refuge in Afghanistan under the protection of the Taliban government. The United States and its allies invaded Afghanistan to remove the Taliban from power and capture or kill Osama bin Laden, the leader of"
220,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks on the United States. The conflict began as a response to the September 11 attacks on the United States, which were carried out by the Islamic extremist group al-Qaeda, which had taken refuge in Afghanistan under the protection of the Taliban government. The United States and its allies invaded Afghanistan to remove the Taliban from power and capture or kill Osama bin Laden, the leader of"
221,"The COVID-19 pandemic is an ongoing global pandemic caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a member of the coronavirus family that causes respiratory diseases such as pneumonia and bronchitis. It first emerged in Wuhan, China in late 2019 and has since spread to become a global pandemic. The World Health Organization (WHO) declared the outbreak a public health emergency of international concern (PHEIC) on January 8, 202"
222,"The COVID-19 pandemic is a viral illness caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The virus spreads from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneezes. This can happen when an infected person touches a surface or item and then another person touches the same surface or item and then touches their mouth, nose, or eyes. Symptoms include fever, cough, and shortness of breath. The"
223,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a member of the coronavirus family that causes respiratory diseases such as the common cold and SARS. First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, affecting countries all over the world. The World Health Organization (WHO) declared the outbreak a public health emergency of international concern (PHE"
224,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since spread to become a global pandemic. The World Health Organization (WHO) declared the outbreak to be a public health emergency of international concern (PHEIC) on January 8, 2020. As of February 27, 2023, there have been"
225,"The COVID-19 pandemic is a viral disease caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a member of the coronavirus family that causes illness ranging from mild to severe. First identified in Wuhan, Hubei, China in late 2019, it has since spread to become a global pandemic, affecting millions of people worldwide. The World Health Organization (WHO) declared a global pandemic on 11 January 2020. As of February 20"
226,"The COVID-19 pandemic is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a member of the coronavirus family that causes respiratory diseases such as the common cold and SARS. First identified in Wuhan, Hubei, China in late 2019, it has since become a global pandemic, affecting countries all over the world. The World Health Organization (WHO) declared a global pandemic on 11 March 2020"
227,"The COVID-19 pandemic is an ongoing outbreak of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). First identified in Wuhan, Hubei, China in late 2019, it has since spread to become a global pandemic. The World Health Organization (WHO) declared the outbreak a public health emergency of international concern (PHEIC) on January 8, 2020. As of March"
228,"The COVID-19 pandemic is a viral illness caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The virus spreads from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneezes. This can happen when an infected person touches a surface or item and then another person touches the same surface or item and then touches their mouth, nose, or eyes. Symptoms include fever, cough, and shortness of breath. The"
229,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP; Arabic: الدولة الإسلامية في العراق والشرق الأوكراني) is a branch of the Islamic State of Iraq and the Levant (ISIL) active in Afghanistan and Pakistan. ISIL-KP emerged in late 2014 as a result of a split within the Pakistani Taliban, which pledged allegiance to"
230,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the militant group Islamic State of Iraq and the Levant (ISIL) active in Afghanistan and Pakistan. ISIL-KP has been designated as a foreign terrorist organization by the United States Department of State. On January 17, 2015, ISIL-KP claimed responsibility for the January 2015 Kabul attacks, which killed at least 35 people. On March 8, 201"
231,"The COVID-19 pandemic is a viral disease caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). It originated in Wuhan, China in late 2019 and has since become a global pandemic. The virus spreads easily from person to person through respiratory droplets produced when an infected person speaks, coughs, or sneezes. The World Health Organization (WHO) declared the outbreak a public health emergency of international concern on January 8, 202"
232,"The COVID-19 pandemic in Afghanistan is part of the ongoing global pandemic of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of February 2021, there have been more than 15,000 confirmed cases of COVID-19 in Afghanistan, resulting in over 1,000 deaths. On"
233,"The Islamic State of Iraq and the Levant – Khorasan Province (ISIL-KP) is a branch of the Islamic State of Iraq and the Levant (ISIL) operating in the Khorasan region, which encompasses parts of Afghanistan and Pakistan. ISIL-KP was officially announced on January 27, 2015, by Abu Bakr al-Baghdadi, the leader of ISIL, during a sermon at the Great Mosque of al-Nuri in Mosul, Iraq. Al-"
234,"The 2019 Pacific typhoon season is an ongoing event in the annual cycle of tropical cyclone activity in the western Pacific Ocean. The season officially began on December 1, 2018, and will end on November 30, 2019. The Regional Specialized Meteorological Centre (RSMC) in Tropical Cyclone Warning Centres (TCWC) under the auspices of the World Meteorological Organization (WMO) are responsible for tracking and issuing warnings on tropical cyclones in the western Pacific basin. <Meteorological history>"
235,"The ongoing military intervention in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks on the World Trade Center and the Pentagon. The primary objective of the invasion was to capture or kill Osama bin Laden and disrupt the operations of al-Qaeda by removing the Taliban regime which had provided safe haven to bin Laden and al-Qaeda. After the initial invasion, Operation Enduring Freedom evolved into a counterinsurgency campaign against the Tal"
236,"The War in Afghanistan (2015–present) is an ongoing conflict between the Islamic Emirate of Afghanistan (the Taliban) and the government of Afghanistan, supported by the International Security Assistance Force (ISAF) and Operation Enduring Freedom (OEF). The conflict began in 2001 when the Taliban regime refused to hand over Osama bin Laden to the United States following the September 11 attacks. In 2015, the Taliban launched a large-scale offensive across the country, seizing several key cities"
237,"The ongoing military intervention in Afghanistan began on October 7, 2001, when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks on the United States. The operation was initially aimed at disrupting and defeating terrorist organizations such as al-Qaeda and the Taliban, who had been accused of harboring Osama bin Laden, the leader of al-Qaeda, responsible for the September 11 attacks. After the fall of the Taliban government in late 2001"
238,"The ongoing war in Afghanistan began in 2001 when Operation Enduring Freedom was launched by the United States and its allies following the September 11 attacks against the United States in 2001. The primary goal of the invasion was to defeat al-Qaeda and remove the Taliban regime which had provided safe haven to Osama bin Laden and other al-Qaeda leaders. Since then, the war has expanded into a broader conflict between the international community and various insurgent groups, including the Taliban, Haqqani network, Hezbi"
239,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
240,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
241,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
242,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
243,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
244,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
245,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
246,"The COVID-19 pandemic in Afghanistan is an ongoing viral disease outbreak caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The first confirmed case in Afghanistan was reported on 3 March 2020. As of 17 October 2021, there have been at least 14,500 confirmed cases and 1,800 deaths in Afghanistan. On 11 March 2020, the World Health Organization (WHO) declared a global pan"
